robo_id,name,kommando_id,direction,turn,received_at
1,car_Wissenberg,82,1.0,0.3,"2022-04-28 12:14:50.620717"
1,car_Wissenberg,83,1.0,0.3,"2022-04-28 12:14:50.675087"
1,car_Wissenberg,84,1.0,0.3,"2022-04-28 12:14:50.725206"
1,car_Wissenberg,85,1.0,0.3,"2022-04-28 12:14:50.771305"
1,car_Wissenberg,86,1.0,0.3,"2022-04-28 12:14:50.827445"
1,car_Wissenberg,87,1.0,0.3,"2022-04-28 12:14:50.887963"
1,car_Wissenberg,88,1.0,0.3,"2022-04-28 12:14:50.927637"
1,car_Wissenberg,89,1.0,0.3,"2022-04-28 12:14:50.980680"
1,car_Wissenberg,90,1.0,0.3,"2022-04-28 12:14:51.032078"
1,car_Wissenberg,91,1.0,0.3,"2022-04-28 12:14:51.078452"
1,car_Wissenberg,92,1.0,0.3,"2022-04-28 12:14:51.123770"
1,car_Wissenberg,93,1.0,0.3,"2022-04-28 12:14:51.177420"
1,car_Wissenberg,94,1.0,0.3,"2022-04-28 12:14:51.217008"
1,car_Wissenberg,95,1.0,0.3,"2022-04-28 12:14:51.277867"
1,car_Wissenberg,96,1.0,0.3,"2022-04-28 12:14:51.329898"
1,car_Wissenberg,97,1.0,0.3,"2022-04-28 12:14:51.373381"
1,car_Wissenberg,98,1.0,0.3,"2022-04-28 12:14:51.432590"
1,car_Wissenberg,99,1.0,0.3,"2022-04-28 12:14:51.478964"
1,car_Wissenberg,100,1.0,0.3,"2022-04-28 12:14:51.529068"
1,car_Wissenberg,101,1.0,0.3,"2022-04-28 12:14:51.578740"
1,car_Wissenberg,102,1.0,0.3,"2022-04-28 12:14:51.628231"
1,car_Wissenberg,103,1.0,0.3,"2022-04-28 12:14:51.678586"
1,car_Wissenberg,104,1.0,0.3,"2022-04-28 12:14:51.742451"
1,car_Wissenberg,105,1.0,0.3,"2022-04-28 12:14:51.793539"
1,car_Wissenberg,106,1.0,0.3,"2022-04-28 12:14:51.826727"
1,car_Wissenberg,107,1.0,0.3,"2022-04-28 12:14:51.893786"
1,car_Wissenberg,108,1.0,0.3,"2022-04-28 12:14:52.070772"
1,car_Wissenberg,109,1.0,0.3,"2022-04-28 12:14:52.134304"
1,car_Wissenberg,110,1.0,0.3,"2022-04-28 12:14:52.189623"
1,car_Wissenberg,111,1.0,0.3,"2022-04-28 12:14:52.254725"
1,car_Wissenberg,112,1.0,0.3,"2022-04-28 12:14:52.315435"
1,car_Wissenberg,113,1.0,0.3,"2022-04-28 12:14:52.368990"
1,car_Wissenberg,114,0.0,0,"2022-04-28 12:14:52.420903"
